"","pid","X","Trial","TrialDuration","Block","Device","RH_cost","RH_travel_time","RH_Comfort","metro_cost","metro_travel_time","metro_Comfort","Bus_cost","Bus_travel_time","Bus_Comfort","Choice","type","experiment","Comfort_FT_time","Cost_FT_time","Travel_FT_time","Other_FT_time","Comfort_FT_count","Cost_FT_count","Travel_FT_count","Other_FT_count","Tot_time","Tot_counts"
"52",5,54,6,5.2498,1,"Laptop",20,20,9,3,70,4,3,70,5,"RH_label","WG","laptop",42539.99998748,38818.80000789,36936.60003121,164344.20003224,402,362,348,1531,282639.60005882,2643
"53",5,55,7,6.3937,1,"Laptop",15,20,9,1,70,5,1,80,3,"RH_label","WG","laptop",42539.99998748,38818.80000789,36936.60003121,164344.20003224,402,362,348,1531,282639.60005882,2643
"54",5,52,4,6.7959,1,"Laptop",25,30,7,1,50,4,1,70,4,"Metro_label","WG","laptop",42539.99998748,38818.80000789,36936.60003121,164344.20003224,402,362,348,1531,282639.60005882,2643
"55",5,53,5,7.5663,1,"Laptop",25,30,9,2,60,5,2,60,5,"Metro_label","WG","laptop",42539.99998748,38818.80000789,36936.60003121,164344.20003224,402,362,348,1531,282639.60005882,2643
"56",5,58,10,6.4831,1,"Laptop",15,20,8,1,60,6,1,60,5,"Metro_label","WG","laptop",42539.99998748,38818.80000789,36936.60003121,164344.20003224,402,362,348,1531,282639.60005882,2643
"57",5,59,11,6.7501,1,"Laptop",15,40,8,2,50,4,2,60,3,"Metro_label","WG","laptop",42539.99998748,38818.80000789,36936.60003121,164344.20003224,402,362,348,1531,282639.60005882,2643
"58",5,56,8,7.0328,1,"Laptop",15,40,8,3,70,5,3,80,4,"Metro_label","WG","laptop",42539.99998748,38818.80000789,36936.60003121,164344.20003224,402,362,348,1531,282639.60005882,2643
"59",5,57,9,4.599,1,"Laptop",20,20,9,1,60,6,1,80,5,"Metro_label","WG","laptop",42539.99998748,38818.80000789,36936.60003121,164344.20003224,402,362,348,1531,282639.60005882,2643
"60",5,60,12,5.7866,1,"Laptop",15,30,7,2,50,6,2,80,3,"Metro_label","WG","laptop",42539.99998748,38818.80000789,36936.60003121,164344.20003224,402,362,348,1531,282639.60005882,2643
"61",6,64,4,6.5525,3,"Laptop",15,30,8,1,60,5,1,70,4,"Metro_label","WG","laptop",22835.99998342,27009.60000252,6596.3999951,104127.60002985,210,252,62,955,160569.60001089,1479
