"","pid","X","Trial","TrialDuration","Block","Device","RH_cost","RH_travel_time","RH_Comfort","metro_cost","metro_travel_time","metro_Comfort","Bus_cost","Bus_travel_time","Bus_Comfort","Choice","type","experiment","Comfort_FT_time","Cost_FT_time","Travel_FT_time","Other_FT_time","Comfort_FT_count","Cost_FT_count","Travel_FT_count","Other_FT_count","Tot_time","Tot_counts"
"42",4,42,6,3.9038,3,"Tablet",15,20,7,2,60,5,2,70,3,"Metro_label","WG","tablet",20823.6,35307.60004009,32398.20000491,50749.19996651,168,328,296,463,139278.60001151,1255
"43",4,43,7,3.4492,3,"Tablet",20,30,7,3,60,4,3,80,4,"Metro_label","WG","tablet",20823.6,35307.60004009,32398.20000491,50749.19996651,168,328,296,463,139278.60001151,1255
"44",4,44,8,2.6831,3,"Tablet",20,40,9,2,60,4,2,80,3,"Metro_label","WG","tablet",20823.6,35307.60004009,32398.20000491,50749.19996651,168,328,296,463,139278.60001151,1255
"45",4,45,9,3.3528,3,"Tablet",15,40,9,2,70,6,2,60,4,"Bus_label","WG","tablet",20823.6,35307.60004009,32398.20000491,50749.19996651,168,328,296,463,139278.60001151,1255
"46",4,46,10,2.7502,3,"Tablet",25,40,9,3,70,5,3,70,3,"Metro_label","WG","tablet",20823.6,35307.60004009,32398.20000491,50749.19996651,168,328,296,463,139278.60001151,1255
"47",4,47,11,2.1491,3,"Tablet",25,20,8,2,50,6,2,70,5,"Metro_label","WG","tablet",20823.6,35307.60004009,32398.20000491,50749.19996651,168,328,296,463,139278.60001151,1255
"48",4,48,12,3.3844,3,"Tablet",20,30,7,1,70,6,1,70,3,"Metro_label","WG","tablet",20823.6,35307.60004009,32398.20000491,50749.19996651,168,328,296,463,139278.60001151,1255
"49",5,49,1,6.0604,3,"Tablet",25,40,9,1,50,4,1,60,5,"Metro_label","WG","tablet",30641.99998904,44021.39999858,43028.99999161,83077.80004038,278,397,399,762,200770.20001961,1836
"50",5,50,2,6.2292,3,"Tablet",20,30,8,1,70,6,1,80,5,"Metro_label","WG","tablet",30641.99998904,44021.39999858,43028.99999161,83077.80004038,278,397,399,762,200770.20001961,1836
"51",5,51,3,5.2343,3,"Tablet",15,30,8,3,50,4,3,80,5,"Metro_label","WG","tablet",30641.99998904,44021.39999858,43028.99999161,83077.80004038,278,397,399,762,200770.20001961,1836
