"","pid","Trial","TrialDuration","Block","Device","RH_cost","RH_travel_time","RH_Comfort","metro_cost","metro_travel_time","metro_Comfort","Bus_cost","Bus_travel_time","Bus_Comfort","Choice"
"96",8,12,6.2665,1,"Monitor",15,30,7,2,50,6,2,80,3,"Metro_label"
"97",9,1,8.3114,1,"Monitor",20,20,7,2,70,4,2,70,4,"RH_label"
"98",9,2,5.4011,1,"Monitor",20,40,7,3,50,5,3,60,4,"Metro_label"
"99",9,3,5.7494,1,"Monitor",25,30,8,3,60,6,3,70,3,"Metro_label"
"100",9,4,3.8546,1,"Monitor",25,30,7,1,50,4,1,70,4,"Metro_label"
"101",9,5,5.5303,1,"Monitor",25,30,9,2,60,5,2,60,5,"Metro_label"
"102",9,6,7.1004,1,"Monitor",20,20,9,3,70,4,3,70,5,"Bus_label"
"103",9,7,4.7355,1,"Monitor",15,20,9,1,70,5,1,80,3,"RH_label"
"104",9,8,4.6664,1,"Monitor",15,40,8,3,70,5,3,80,4,"RH_label"
"105",9,9,5.033,1,"Monitor",20,20,9,1,60,6,1,80,5,"RH_label"
"106",9,10,4.2136,1,"Monitor",15,20,8,1,60,6,1,60,5,"Metro_label"
"107",9,11,7.715,1,"Monitor",15,40,8,2,50,4,2,60,3,"Metro_label"
"108",9,12,7.8858,1,"Monitor",15,30,7,2,50,6,2,80,3,"Metro_label"
"109",10,1,7.9101,1,"Monitor",20,20,7,2,70,4,2,70,4,"Bus_label"
"110",10,2,9.8804,1,"Monitor",20,40,7,3,50,5,3,60,4,"Metro_label"
"111",10,3,10.0363,1,"Monitor",25,30,8,3,60,6,3,70,3,"Metro_label"
"112",10,4,6.6486,1,"Monitor",25,30,7,1,50,4,1,70,4,"Metro_label"
"113",10,5,6.733,1,"Monitor",25,30,9,2,60,5,2,60,5,"Bus_label"
"114",10,6,5.8349,1,"Monitor",20,20,9,3,70,4,3,70,5,"Bus_label"
"115",10,7,6.5187,1,"Monitor",15,20,9,1,70,5,1,80,3,"Metro_label"
"116",10,8,10.3121,1,"Monitor",15,40,8,3,70,5,3,80,4,"Metro_label"
"117",10,9,7.3998,1,"Monitor",20,20,9,1,60,6,1,80,5,"Metro_label"
"118",10,10,4.5137,1,"Monitor",15,20,8,1,60,6,1,60,5,"Metro_label"
"119",10,11,3.7172,1,"Monitor",15,40,8,2,50,4,2,60,3,"Metro_label"
"120",10,12,4.7915,1,"Monitor",15,30,7,2,50,6,2,80,3,"Metro_label"
"121",11,1,9.2383,3,"Monitor",25,40,9,1,50,4,1,60,5,"Metro_label"
"122",11,2,10.199,3,"Monitor",20,30,8,1,70,6,1,80,5,"Metro_label"
"123",11,3,5.483,3,"Monitor",15,30,8,3,50,4,3,80,5,"Metro_label"
"124",11,4,5.5331,3,"Monitor",15,30,8,1,60,5,1,70,4,"Metro_label"
"125",11,5,4.8999,3,"Monitor",25,20,7,3,50,5,3,60,5,"Metro_label"
"126",11,6,8.2744,3,"Monitor",15,20,7,2,60,5,2,70,3,"Metro_label"
"127",11,7,8.4243,3,"Monitor",20,30,7,3,60,4,3,80,4,"Metro_label"
"128",11,8,4.6363,3,"Monitor",20,40,9,2,60,4,2,80,3,"Metro_label"
"129",11,9,6.1814,3,"Monitor",15,40,9,2,70,6,2,60,4,"Bus_label"
"130",11,10,4.2662,3,"Monitor",25,40,9,3,70,5,3,70,3,"Metro_label"
"131",11,11,5.9997,3,"Monitor",25,20,8,2,50,6,2,70,5,"Metro_label"
"132",11,12,7.5643,3,"Monitor",20,30,7,1,70,6,1,70,3,"Metro_label"
"133",12,1,5.4934,3,"Monitor",25,40,9,1,50,4,1,60,5,"Metro_label"
"134",12,2,8.8911,3,"Monitor",20,30,8,1,70,6,1,80,5,"Metro_label"
"135",12,3,8.8332,3,"Monitor",15,30,8,3,50,4,3,80,5,"RH_label"
"136",12,4,5.8662,3,"Monitor",15,30,8,1,60,5,1,70,4,"Metro_label"
"137",12,5,5.9147,3,"Monitor",25,20,7,3,50,5,3,60,5,"Metro_label"
"138",12,6,11.852,3,"Monitor",15,20,7,2,60,5,2,70,3,"RH_label"
"139",12,7,10.3197,3,"Monitor",20,30,7,3,60,4,3,80,4,"Metro_label"
"140",12,8,5.2327,3,"Monitor",20,40,9,2,60,4,2,80,3,"Metro_label"
"141",12,9,4.4331,3,"Monitor",15,40,9,2,70,6,2,60,4,"RH_label"
"142",12,10,5.3153,3,"Monitor",25,40,9,3,70,5,3,70,3,"Metro_label"
"143",12,11,9.118,3,"Monitor",25,20,8,2,50,6,2,70,5,"RH_label"
"144",12,12,5.1958,3,"Monitor",20,30,7,1,70,6,1,70,3,"Metro_label"
"145",13,1,11.3602,4,"Monitor",25,20,8,1,60,4,1,60,3,"Metro_label"
