"","pid","Trial","TrialDuration","Block","Device","RH_cost","RH_travel_time","RH_Comfort","metro_cost","metro_travel_time","metro_Comfort","Bus_cost","Bus_travel_time","Bus_Comfort","Choice"
"94",8,10,5.612,2,"Smartphone",15,40,7,1,50,6,1,70,5,"Metro_label"
"95",8,11,5.4496,2,"Smartphone",25,20,7,2,70,5,2,80,5,"Metro_label"
"96",8,12,4.6367,2,"Smartphone",25,30,9,1,70,6,1,60,4,"Bus_label"
"97",9,1,5.4083,3,"Smartphone",25,40,9,1,50,4,1,60,5,"Metro_label"
"98",9,2,3.6663,3,"Smartphone",20,30,8,1,70,6,1,80,5,"Metro_label"
"99",9,3,3.6511,3,"Smartphone",15,30,8,3,50,4,3,80,5,"RH_label"
"100",9,4,3.6862,3,"Smartphone",15,30,8,1,60,5,1,70,4,"Metro_label"
"101",9,5,6.9989,3,"Smartphone",25,20,7,3,50,5,3,60,5,"RH_label"
"102",9,6,5.2204,3,"Smartphone",15,20,7,2,60,5,2,70,3,"RH_label"
"103",9,7,4.0838,3,"Smartphone",20,30,7,3,60,4,3,80,4,"Metro_label"
"104",9,8,4.347,3,"Smartphone",20,40,9,2,60,4,2,80,3,"Metro_label"
"105",9,9,5.6331,3,"Smartphone",15,40,9,2,70,6,2,60,4,"RH_label"
"106",9,10,8.6339,3,"Smartphone",25,40,9,3,70,5,3,70,3,"Metro_label"
"107",9,11,7.1861,3,"Smartphone",25,20,8,2,50,6,2,70,5,"RH_label"
"108",9,12,4.0857,3,"Smartphone",20,30,7,1,70,6,1,70,3,"Metro_label"
"109",10,1,5.795,2,"Smartphone",15,20,8,3,70,4,3,60,4,"Bus_label"
"110",10,2,5.3936,2,"Smartphone",20,20,7,3,70,6,3,60,3,"Bus_label"
"111",10,3,5.1845,2,"Smartphone",15,40,9,1,60,4,1,70,5,"Metro_label"
"112",10,4,3.8489,2,"Smartphone",25,30,8,2,70,4,2,80,4,"Metro_label"
"113",10,5,2.7671,2,"Smartphone",25,20,9,2,60,4,2,70,4,"Metro_label"
"114",10,6,3.118,2,"Smartphone",20,30,9,2,50,5,2,60,3,"Metro_label"
"115",10,7,3.8981,2,"Smartphone",25,40,8,3,60,6,3,70,3,"Metro_label"
"116",10,8,3.6146,2,"Smartphone",15,30,7,3,60,4,3,80,5,"Metro_label"
"117",10,9,3.0832,2,"Smartphone",20,40,8,1,50,5,1,80,3,"Metro_label"
"118",10,10,2.4831,2,"Smartphone",15,40,7,1,50,6,1,70,5,"Metro_label"
"119",10,11,2.7165,2,"Smartphone",25,20,7,2,70,5,2,80,5,"Metro_label"
"120",10,12,3.6998,2,"Smartphone",25,30,9,1,70,6,1,60,4,"Bus_label"
"121",11,1,9.4734,2,"Smartphone",15,20,8,3,70,4,3,60,4,"Bus_label"
"122",11,2,8.2488,2,"Smartphone",20,20,7,3,70,6,3,60,3,"Metro_label"
"123",11,3,4.7145,2,"Smartphone",15,40,9,1,60,4,1,70,5,"Metro_label"
"124",11,4,2.665,2,"Smartphone",25,30,8,2,70,4,2,80,4,"Metro_label"
"125",11,5,4.8885,2,"Smartphone",25,20,9,2,60,4,2,70,4,"Metro_label"
"126",11,6,6.8354,2,"Smartphone",20,30,9,2,50,5,2,60,3,"Metro_label"
"127",11,7,2.9581,2,"Smartphone",25,40,8,3,60,6,3,70,3,"Metro_label"
"128",11,8,3.6356,2,"Smartphone",15,30,7,3,60,4,3,80,5,"Metro_label"
"129",11,9,5.7813,2,"Smartphone",20,40,8,1,50,5,1,80,3,"Metro_label"
"130",11,10,3.7027,2,"Smartphone",15,40,7,1,50,6,1,70,5,"Metro_label"
