"","pid","Trial","TrialDuration","Block","Device","RH_cost","RH_travel_time","RH_Comfort","metro_cost","metro_travel_time","metro_Comfort","Bus_cost","Bus_travel_time","Bus_Comfort","Choice"
"125",11,5,6.3498,1,"Laptop",25,30,9,2,60,5,2,60,5,"Metro_label"
"126",11,6,3.9975,1,"Laptop",20,20,9,3,70,4,3,70,5,"Bus_label"
"127",11,7,3.6203,1,"Laptop",15,20,9,1,70,5,1,80,3,"Metro_label"
"128",11,8,3.8516,1,"Laptop",15,40,8,3,70,5,3,80,4,"Metro_label"
"129",11,9,5.0127,1,"Laptop",20,20,9,1,60,6,1,80,5,"Metro_label"
"130",11,10,5.1666,1,"Laptop",15,20,8,1,60,6,1,60,5,"Metro_label"
"131",11,11,5.8723,1,"Laptop",15,40,8,2,50,4,2,60,3,"Metro_label"
"132",11,12,5.9707,1,"Laptop",15,30,7,2,50,6,2,80,3,"Metro_label"
"133",12,1,8.5117,3,"Laptop",25,40,9,1,50,4,1,60,5,"Metro_label"
"134",12,2,9.083,3,"Laptop",20,30,8,1,70,6,1,80,5,"Metro_label"
"135",12,3,6.1137,3,"Laptop",15,30,8,3,50,4,3,80,5,"RH_label"
"136",12,4,6.9519,3,"Laptop",15,30,8,1,60,5,1,70,4,"Metro_label"
"137",12,5,7.9686,3,"Laptop",25,20,7,3,50,5,3,60,5,"Metro_label"
"138",12,6,13.1163,3,"Laptop",15,20,7,2,60,5,2,70,3,"Metro_label"
"139",12,7,7.6184,3,"Laptop",20,30,7,3,60,4,3,80,4,"Metro_label"
"140",12,8,4.2839,3,"Laptop",20,40,9,2,60,4,2,80,3,"Metro_label"
"141",12,9,12.3836,3,"Laptop",15,40,9,2,70,6,2,60,4,"RH_label"
"142",12,10,4.3136,3,"Laptop",25,40,9,3,70,5,3,70,3,"Metro_label"
"143",12,11,9.8137,3,"Laptop",25,20,8,2,50,6,2,70,5,"Metro_label"
"144",12,12,4.3493,3,"Laptop",20,30,7,1,70,6,1,70,3,"Metro_label"
"145",13,1,5.1108,3,"Laptop",25,40,9,1,50,4,1,60,5,"Metro_label"
"146",13,2,4.7332,3,"Laptop",20,30,8,1,70,6,1,80,5,"Metro_label"
"147",13,3,4.6662,3,"Laptop",15,30,8,3,50,4,3,80,5,"Metro_label"
"148",13,4,3.1331,3,"Laptop",15,30,8,1,60,5,1,70,4,"Metro_label"
"149",13,5,4.237,3,"Laptop",25,20,7,3,50,5,3,60,5,"Metro_label"
"150",13,6,4.3444,3,"Laptop",15,20,7,2,60,5,2,70,3,"Metro_label"
"151",13,7,3.3159,3,"Laptop",20,30,7,3,60,4,3,80,4,"Metro_label"
"152",13,8,3.9176,3,"Laptop",20,40,9,2,60,4,2,80,3,"Metro_label"
"153",13,9,3.8949,3,"Laptop",15,40,9,2,70,6,2,60,4,"Bus_label"
"154",13,10,4.965,3,"Laptop",25,40,9,3,70,5,3,70,3,"Metro_label"
"155",13,11,3.6872,3,"Laptop",25,20,8,2,50,6,2,70,5,"Metro_label"
"156",13,12,4.2529,3,"Laptop",20,30,7,1,70,6,1,70,3,"Metro_label"
"157",14,1,8.6766,2,"Laptop",15,20,8,3,70,4,3,60,4,"Metro_label"
"158",14,2,12.1838,2,"Laptop",20,20,7,3,70,6,3,60,3,"Metro_label"
"159",14,3,10.8645,2,"Laptop",15,40,9,1,60,4,1,70,5,"Bus_label"
"160",14,4,8.9504,2,"Laptop",25,30,8,2,70,4,2,80,4,"Metro_label"
"161",14,5,5.333,2,"Laptop",25,20,9,2,60,4,2,70,4,"Bus_label"
"162",14,6,6.8718,2,"Laptop",20,30,9,2,50,5,2,60,3,"Metro_label"
"163",14,7,9.7047,2,"Laptop",25,40,8,3,60,6,3,70,3,"Metro_label"
"164",14,8,7.0879,2,"Laptop",15,30,7,3,60,4,3,80,5,"Metro_label"
"165",14,9,4.6151,2,"Laptop",20,40,8,1,50,5,1,80,3,"Metro_label"
"166",14,10,4.8565,2,"Laptop",15,40,7,1,50,6,1,70,5,"Metro_label"
"167",14,11,4.433,2,"Laptop",25,20,7,2,70,5,2,80,5,"Metro_label"
"168",14,12,10.3136,2,"Laptop",25,30,9,1,70,6,1,60,4,"Bus_label"
"169",15,1,10.5103,2,"Laptop",15,20,8,3,70,4,3,60,4,"RH_label"
"170",15,2,7.0163,2,"Laptop",20,20,7,3,70,6,3,60,3,"RH_label"
"171",15,3,5.7186,2,"Laptop",15,40,9,1,60,4,1,70,5,"Metro_label"
"172",15,4,3.4498,2,"Laptop",25,30,8,2,70,4,2,80,4,"Metro_label"
"173",15,5,3.8504,2,"Laptop",25,20,9,2,60,4,2,70,4,"Metro_label"
"174",15,6,5.881,2,"Laptop",20,30,9,2,50,5,2,60,3,"Metro_label"
"175",15,7,5.0497,2,"Laptop",25,40,8,3,60,6,3,70,3,"Metro_label"
"176",15,8,4.883,2,"Laptop",15,30,7,3,60,4,3,80,5,"Metro_label"
"177",15,9,4.2667,2,"Laptop",20,40,8,1,50,5,1,80,3,"Metro_label"
"178",15,10,7.6166,2,"Laptop",15,40,7,1,50,6,1,70,5,"Metro_label"
"179",15,11,5.4752,2,"Laptop",25,20,7,2,70,5,2,80,5,"RH_label"
"180",15,12,5.2159,2,"Laptop",25,30,9,1,70,6,1,60,4,"Bus_label"
"181",16,1,4.91,4,"Laptop",25,20,8,1,60,4,1,60,3,"Metro_label"
"182",16,2,6.9303,4,"Laptop",20,40,8,2,70,4,2,70,5,"Bus_label"
"183",16,3,10.1516,4,"Laptop",20,30,8,2,60,5,2,60,5,"RH_label"
"184",16,4,6.5648,4,"Laptop",25,40,7,2,70,6,2,80,5,"Metro_label"
"185",16,5,5.7694,4,"Laptop",20,40,7,3,60,6,3,60,4,"Metro_label"
"186",16,6,4.1912,4,"Laptop",25,20,9,3,50,4,3,80,3,"RH_label"
"187",16,7,5.4663,4,"Laptop",15,20,9,2,50,6,2,80,4,"RH_label"
"188",16,8,3.6334,4,"Laptop",20,20,8,1,50,5,1,70,4,"Metro_label"
"189",16,9,5.4985,4,"Laptop",25,40,7,1,60,5,1,80,4,"Metro_label"
"190",16,10,7.5497,4,"Laptop",20,30,9,3,50,6,3,70,4,"Metro_label"
"191",16,11,4.6866,4,"Laptop",15,30,7,1,70,4,1,60,3,"Bus_label"
"192",16,12,5.7501,4,"Laptop",15,30,9,3,70,5,3,70,5,"RH_label"
"193",17,1,7.08,4,"Laptop",25,20,8,1,60,4,1,60,3,"Metro_label"
"194",17,2,7.7798,4,"Laptop",20,40,8,2,70,4,2,70,5,"Bus_label"
"195",17,3,9.4329,4,"Laptop",20,30,8,2,60,5,2,60,5,"Metro_label"
"196",17,4,5.5456,4,"Laptop",25,40,7,2,70,6,2,80,5,"Metro_label"
"197",17,5,5.4694,4,"Laptop",20,40,7,3,60,6,3,60,4,"Metro_label"
"198",17,6,3.8997,4,"Laptop",25,20,9,3,50,4,3,80,3,"Metro_label"
"199",17,7,6.9965,4,"Laptop",15,20,9,2,50,6,2,80,4,"Metro_label"
"200",17,8,5.1492,4,"Laptop",20,20,8,1,50,5,1,70,4,"Metro_label"
"201",17,9,2.8664,4,"Laptop",25,40,7,1,60,5,1,80,4,"Metro_label"
"202",17,10,2.8166,4,"Laptop",20,30,9,3,50,6,3,70,4,"Metro_label"
"203",17,11,4.6018,4,"Laptop",15,30,7,1,70,4,1,60,3,"Bus_label"
"204",17,12,6.1811,4,"Laptop",15,30,9,3,70,5,3,70,5,"Metro_label"
"205",18,1,5.7444,4,"Laptop",25,20,8,1,60,4,1,60,3,"Metro_label"
"206",18,2,4.9764,4,"Laptop",20,40,8,2,70,4,2,70,5,"Bus_label"
"207",18,3,4.6797,4,"Laptop",20,30,8,2,60,5,2,60,5,"Metro_label"
"208",18,4,3.5028,4,"Laptop",25,40,7,2,70,6,2,80,5,"Metro_label"
"209",18,5,4.5539,4,"Laptop",20,40,7,3,60,6,3,60,4,"Metro_label"
"210",18,6,3.7499,4,"Laptop",25,20,9,3,50,4,3,80,3,"Metro_label"
"211",18,7,4.9504,4,"Laptop",15,20,9,2,50,6,2,80,4,"Metro_label"
"212",18,8,4.6495,4,"Laptop",20,20,8,1,50,5,1,70,4,"Metro_label"
"213",18,9,4.2831,4,"Laptop",25,40,7,1,60,5,1,80,4,"Metro_label"
"214",18,10,3.05,4,"Laptop",20,30,9,3,50,6,3,70,4,"Metro_label"
"215",18,11,3.8044,4,"Laptop",15,30,7,1,70,4,1,60,3,"Bus_label"
"216",18,12,4.4154,4,"Laptop",15,30,9,3,70,5,3,70,5,"RH_label"
"217",19,1,15.0789,2,"Laptop",15,20,8,3,70,4,3,60,4,"RH_label"
"218",19,2,12.8497,2,"Laptop",20,20,7,3,70,6,3,60,3,"Metro_label"
"219",19,3,7.1333,2,"Laptop",15,40,9,1,60,4,1,70,5,"Bus_label"
"220",19,4,9.083,2,"Laptop",25,30,8,2,70,4,2,80,4,"RH_label"
"221",19,5,6.2492,2,"Laptop",25,20,9,2,60,4,2,70,4,"RH_label"
"222",19,6,10.4372,2,"Laptop",20,30,9,2,50,5,2,60,3,"Metro_label"
"223",19,7,6.633,2,"Laptop",25,40,8,3,60,6,3,70,3,"Metro_label"
"224",19,8,7.836,2,"Laptop",15,30,7,3,60,4,3,80,5,"RH_label"
"225",19,9,19.6838,2,"Laptop",20,40,8,1,50,5,1,80,3,"RH_label"
"226",19,10,8.8794,2,"Laptop",15,40,7,1,50,6,1,70,5,"Metro_label"
"227",19,11,8.2672,2,"Laptop",25,20,7,2,70,5,2,80,5,"RH_label"
"228",19,12,13.3998,2,"Laptop",25,30,9,1,70,6,1,60,4,"RH_label"
"229",20,1,3.3343,1,"Laptop",20,20,7,2,70,4,2,70,4,"Metro_label"
"230",20,2,3.2828,1,"Laptop",20,40,7,3,50,5,3,60,4,"Metro_label"
